Years,Total_Snowfall
1971,1063
1972,1008
1973,612
1974,958
1975,825
1976,795
1977,373
1978,471
1979,510
1980,527
1981,277
1982,819
1983,657
1984,595
1985,753
1986,522
1987,502
1988,723
1989,627
1990,582
1991,607
1992,373
1993,399
1994,531
1995,542
1996,439
1997,776
1998,648
1999,1140
2000,748
2001,449
2002,800
2003,587
2004,633
2005,464
2006,805
2007,660
2008,786
2009,548
2010,644
2011,857
2012,808
2013,740
2014,623
2015,303
2016,622
2017,866
2018,844
2019,538
2020,686
2021,704
2022,647
